
===========azul==========
lc	err_lc	Vf	err_Vf
1.49E-10	5.16E-13	2.48E-03	2.30E-05
1.14E-10	5.65E-13	-9.79E-02	1.70E-05
8.24E-11	1.67E-13	-1.98E-01	1.55E-05
6.40E-11	1.37E-12	-2.97E-01	3.36E-05
4.75E-11	3.54E-13	-3.97E-01	3.71E-05
3.02E-11	1.14E-12	-4.97E-01	3.46E-05
1.54E-11	1.81E-14	-5.97E-01	3.28E-05
7.47E-12	1.52E-14	-6.98E-01	1.56E-05
2.73E-12	1.71E-13	-7.98E-01	2.51E-05
-2.99E-13	7.14E-14	-8.96E-01	4.13E-05
-2.18E-12	5.19E-14	-9.98E-01	4.99E-05
-3.16E-12	2.10E-14	-1.10E+00	2.92E-05
-3.92E-12	5.37E-14	-1.20E+00	1.78E-05
-4.67E-12	1.13E-14	-1.30E+00	3.91E-05
-5.36E-12	2.03E-14	-1.40E+00	3.64E-05
-5.46E-12	2.10E-13	-1.50E+00	3.87E-05



============amarillo===========
lc	err_lc	Vf	err_Vf
1.04E-11	6.50E-15	1.88E-03	3.88E−05
3.45E-12	1.81E-14	-9.85E-02	1.82E−05
7.31E-13	7.05E-13	-1.99E-01	1.62E−05
-1.03E-14	3.83E-14	-2.98E-01	2.82E−05
-4.35E-13	5.33E-14	-3.97E-01	3.53E−05
-6.62E-13	-2.01E-14	-4.97E-01	3.71E−05
-8.27E-13	1.35E-13	-5.98E-01	2.33E−05
-1.05E-12	8.28E-13	-6.99E-01	2.86E−05
-1.05E-12	9.13E-14	-7.98E-01	3.06E−05
-1.30E-12	8.43E-14	-8.98E-01	4.16E−05
-8.73E-13	1.39E-12	-9.99E-01	3.97E−05
-1.27E-12	-1.32E-14	-1.10E+00	3.16E−05
-1.26E-12	7.95E-13	-1.20E+00	1.63E−05
-1.34E-12	1.59E-13	-1.30E+00	3.23E−05
-1.35E-12	3.11E-13	-1.40E+00	4.21E−05
-1.42E-12	1.01E-13	-1.50E+00	4.08E−05
-1.46E-12	2.50E-13	-1.60E+00	4.57E−05


===========verde===============
lc	err_lc	Vf	err_Vf
2.26E-12	2.54E-14	1.87E-03	2.66E−05
1.11E-12	6.61E-15	-9.86E-02	2.76E−05
3.98E-13	1.03E-14	-1.99E-01	2.39E−05
6.65E-14	5.69E-15	-2.80E-01	4.93E−05
-5.84E-14	4.24E-15	-3.97E-01	3.66E−05
-1.19E-13	1.21E-14	-4.97E-01	3.15E−05
-1.41E-13	4.69E-15	-5.98E-01	2.69E−05
-1.58E-13	3.92E-15	-6.99E-01	2.18E−05
-1.70E-13	2.09E-15	-7.98E-01	2.74E−05
-1.83E-13	2.90E-15	-8.99E-01	3.34E−05
-1.96E-13	2.48E-15	-9.99E-01	3.71E−05
-2.18E-13	1.21E-14	-1.10E+00	2.58E−05
-2.08E-13	3.77E-15	-1.20E+00	1.7E−05
-2.08E-13	4.97E-15	-1.30E+00	2.43E−05
-2.12E-13	2.49E-15	-1.40E+00	3.75E−05
-2.28E-13	7.51E-15	-1.50E+00	4.9E−05


===========violeta================
lc	err_lc	Vf	err_Vf
1.78E-11	2.04E-14	-9.80E-02	2.03E-05
1.45E-11	2.00E-14	-1.98E-01	2.25E-05
1.14E-11	2.97E-14	-2.97E-01	2.62E-05
8.48E-12	-8.54E-15	-3.97E-01	4.28E-05
6.08E-12	2.97E-14	-4.97E-01	2.72E-05
4.14E-12	2.49E-14	-5.97E-01	2.90E-05
2.69E-12	2.53E-14	-6.98E-01	1.54E-05
1.60E-12	4.79E-14	-7.98E-01	2.93E-05
8.51E-13	2.35E-14	-8.98E-01	4.19E-05
3.20E-13	3.57E-14	-9.98E-01	3.46E-05
-3.88E-15	-1.45E-14	-1.10E+00	3.10E-05
-2.37E-13	-1.04E-14	-1.20E+00	1.62E-05
-3.90E-13	-1.10E-14	-1.30E+00	2.34E-05
-4.91E-13	3.46E-15	-1.40E+00	4.13E-05
-5.83E-13	-1.27E-14	-1.50E+00	3.92E-05


==========uv====================
lc	err_lc	Vf	err_Vf
3.69E-10	4.53E-13	1.92E-03	4.4E−05
3.11E-10	3.00E-13	-9.86E-02	2.08E−05
2.65E-10	2.29E-13	-1.99E-01	2.24E−05
2.16E-10	4.05E-13	-2.98E-01	3.19E−05
1.74E-10	4.87E-13	-3.97E-01	4.19E−05
1.36E-10	2.71E-13	-4.98E-01	4.32E−05
1.04E-10	1.75E-13	-5.98E-01	3.59E−05
8.05E-11	3.22E-13	-6.99E-01	1.96E−05
5.83E-11	1.64E-13	-7.98E-01	3.63E−05
4.07E-11	1.39E-13	-8.99E-01	4.22E−05
2.70E-11	4.50E-14	-9.99E-01	3.55E−05
1.71E-11	-2.05E-14	-1.10E+00	2.66E−05
9.83E-12	-3.86E-14	-1.20E+00	1.63E−05
4.64E-12	1.39E-13	-1.30E+00	3.08E−05
9.27E-13	8.90E-14	-1.40E+00	4.59E−05
-1.38E-12	-7.70E-15	-1.50E+00	3.51E−05

